,Country,Latitude,Longitude
0,Albania,41.15,20.17
1,Algeria,28.03,1.66
2,Argentina,-38.42,-63.62
3,Armenia,40.07,45.04
4,Australia,-25.27,133.78
5,Austria,47.52,14.55
6,Bahrain,25.93,50.64
7,Bangladesh,23.68,90.36
8,Belarus,53.71,27.95
9,Belgium,50.5,4.47
10,Bhutan,27.51,90.43
11,Bolivia,-16.29,-63.59
12,Bosnia and Herzegovina,43.92,17.68
13,Bulgaria,42.73,25.49
14,Canada,56.13,-106.35
15,Cape Verde,16.0,-24.01
16,Chile,-35.68,-71.54
17,Colombia,4.57,-74.3
18,Costa Rica,9.75,-83.75
19,Croatia,45.1,15.2
20,Cuba,21.52,-77.78
21,Cyprus,35.13,33.43
22,Denmark,56.26,9.5
23,Dominican Republic,18.74,-70.16
24,Ecuador,-1.83,-78.18
25,El Salvador,13.79,-88.9
26,Estonia,58.6,25.01
27,Ethiopia,9.14,40.49
28,Fiji,-16.58,179.41
29,Finland,61.92,25.75
30,France,46.23,2.21
31,Ghana,7.95,-1.02
32,Greece,39.07,21.82
33,Guatemala,15.78,-90.23
34,Hungary,47.16,19.5
35,Iceland,64.96,-19.02
36,India,20.59,78.96
37,Indonesia,-0.79,113.92
38,Iran,32.43,53.69
39,Iraq,33.22,43.68
40,Ireland,53.41,-8.24
41,Israel,31.05,34.85
42,Italy,41.87,12.57
43,Jamaica,18.11,-77.3
44,Japan,36.2,138.25
45,Jordan,30.59,36.24
46,Kazakhstan,48.02,66.92
47,Kenya,-0.02,37.91
48,Kuwait,29.31,47.48
49,Latvia,56.88,24.6
50,Libya,26.34,17.23
51,Lithuania,55.17,23.88
52,Luxembourg,49.82,6.13
53,Madagascar,-18.77,46.87
54,Malawi,-13.25,34.3
55,Malaysia,4.21,101.98
56,Malta,35.94,14.38
57,Mauritania,21.01,-10.94
58,Mexico,23.63,-102.55
59,Mongolia,46.86,103.85
60,Morocco,31.79,-7.09
61,Mozambique,-18.67,35.53
62,Myanmar,21.91,95.96
63,Namibia,-22.96,18.49
64,Nepal,28.39,84.12
65,New Zealand,-40.9,174.89
66,Nigeria,9.08,8.68
67,Norway,60.47,8.47
68,Oman,21.51,55.92
69,Pakistan,30.38,69.35
70,Panama,8.54,-80.78
71,Paraguay,-23.44,-58.44
72,Peru,-9.19,-75.02
73,Philippines,12.88,121.77
74,Poland,51.92,19.15
75,Portugal,39.4,-8.22
76,Qatar,25.35,51.18
77,Romania,45.94,24.97
78,Russia,61.52,105.32
79,Rwanda,-1.94,29.87
80,Saudi Arabia,23.89,45.08
81,Senegal,14.5,-14.45
82,Serbia,44.02,21.01
83,Slovakia,48.67,19.7
84,Slovenia,46.15,15.0
85,South Africa,-30.56,22.94
86,South Korea,35.91,127.77
87,Sri Lanka,7.87,80.77
88,Sweden,60.13,18.64
89,Switzerland,46.82,8.23
90,Thailand,15.87,100.99
91,Togo,8.62,0.82
92,Trinidad and Tobago,10.69,-61.22
93,Tunisia,33.89,9.54
94,Turkey,38.96,35.24
95,Uganda,1.37,32.29
96,Ukraine,48.38,31.17
97,United Arab Emirates,23.42,53.85
98,United Kingdom,55.38,-3.44
99,United States,37.09,-95.71
100,Uruguay,-32.52,-55.77
101,Vietnam,14.06,108.28
102,Zambia,-13.13,27.85
103,Zimbabwe,-19.02,29.15
